B.Galloway,B.White,D.Shorthorn,N.D.Shorthorn,R.R.Devon,Dexter,Galloway,Gloucester,Guernsey,Highland,I.Moiled,L.Red,Longhorn,Luing,Red.P,Shetland,Vaynol,W.Park,W.Shorthorn
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,66,25,39,59,53,58,57,59,68,61,47,43,49,68,57,52,54,65
