B.Galloway,B.White,D.Shorthorn,N.D.Shorthorn,R.R.Devon,Dexter,Galloway,Gloucester,Guernsey,Highland,I.Moiled,L.Red,Longhorn,Luing,Red.P,Shetland,Vaynol,W.Park,W.Shorthorn
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,64,21,34,65,58,55,53,60,67,60,50,47,47,67,54,44,52,60
