Breed Score,Diversity,Marketability,Endangerment
30-59,45,62,50
60-70,59,70,67
30-59,9,8,59
30-59,19,35,64
30-59,81,52,45
30-59,73,62,23
60-70,46,53,74
60-70,41,48,83
60-70,63,47,66
60-70,63,90,51
60-70,57,53,74
30-59,61,27,52
30-59,58,27,44
30-59,39,62,47
60-70,64,70,70
30-59,47,62,61
60-70,20,45,92
30-59,47,45,69
60-70,46,62,86
