Breed Score,Diversity,Marketability,Endangerment
30-59,13.60,12.30,24.90
60-70,17.80,14.00,33.70
30-59,2.60,1.70,29.50
30-59,5.60,7.00,32.10
30-59,24.40,10.30,22.40
30-59,21.90,12.30,11.70
60-70,13.90,10.70,37.10
60-70,12.20,9.70,41.60
60-70,18.90,9.30,33.20
60-70,18.80,18.00,25.50
60-70,17.00,10.70,36.90
30-59,18.40,5.30,26.20
30-59,17.40,5.30,22.00
30-59,11.60,12.30,23.70
60-70,19.10,14.00,35.00
30-59,14.20,12.30,30.60
60-70,6.00,9.00,46.20
30-59,14.00,9.00,34.50
60-70,13.80,12.30,43.62
