B.Galloway,B.White,D.Shorthorn,N.D.Shorthorn,R.R.Devon,Dexter,Galloway,Gloucester,Guernsey,Highland,I.Moiled,L.Red,Longhorn,Luing,Red.P,Shetland,Vaynol,W.Park,W.Shorthorn
800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535331.9058,631691.6488,53720,85053.33333,546038.5439,513918.6296,524625.2677,500640,503211.9914,674518.2013,578158.4582,385438.9722,374732.334,620985.0107,663811.5632,581466.6667,9693.333333,481798.7152,250893.3333
