B.Galloway,B.White,D.Shorthorn,N.D.Shorthorn,R.R.Devon,Dexter,Galloway,Gloucester,Guernsey,Highland,I.Moiled,L.Red,Longhorn,Luing,Red.P,Shetland,Vaynol,W.Park,W.Shorthorn
800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499457.1118,597176.9815,53720,85053.33333,553745.9283,477741.5852,510314.8751,500640,510314.8751,597176.9815,597176.9815,423452.7687,412595.0054,618892.5081,651465.798,564603.6916,9693.333333,488599.3485,250893.3333
