B.Galloway,B.White,D.Shorthorn,N.D.Shorthorn,R.R.Devon,Dexter,Galloway,Gloucester,Guernsey,Highland,I.Moiled,L.Red,Longhorn,Luing,Red.P,Shetland,Vaynol,W.Park,W.Shorthorn
800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487514.8633,582639.7146,53720,85053.33333,618311.5339,523186.6825,463733.6504,463733.6504,511296.0761,558858.5018,594530.321,463733.6504,463733.6504,689655.1724,642092.7467,570749.1082,9693.333333,463733.6504,250893.3333
