B.Galloway,B.White,D.Shorthorn,N.D.Shorthorn,R.R.Devon,Dexter,Galloway,Gloucester,Guernsey,Highland,I.Moiled,L.Red,Longhorn,Luing,Red.P,Shetland,Vaynol,W.Park,W.Shorthorn
800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465838.5093,579710.1449,53720,85053.33333,517598.3437,393374.7412,538302.2774,500640,527950.3106,517598.3437,610766.0455,445134.5756,414078.6749,559006.2112,631469.9793,548654.2443,9693.333333,517598.3437,250893.3333
