Breed,Diversity,Marketability,Endangerment,Total 
B.Galloway,14,12,25,51
B.White,18,14,34,66
D.Shorthorn,3,2,30,34
N.d.Shorthorn,6,7,32,45
Devon,24,10,22,57
Dexter,22,12,12,46
Galloway,14,11,37,62
Gloucester,12,10,42,64
Guernsey,19,9,33,61
Highland,19,18,26,62
I.Moiled,17,11,37,65
L.Red,18,5,26,50
Longhorn,17,5,22,45
Luing,12,12,24,48
Red.P,19,14,35,68
Shetland,14,12,31,57
Vaynol,6,9,46,61
W.Park,14,9,35,58
W.Shorthorn,14,12,44,70
