Breed Score,Diversity,Marketability,Endangerment
B.Galloway,27,62,50
B.White,29,70,67
D.Shorthorn,14,8,59
N.d.Shorthorn,25,35,64
R.R.Devon,56,52,45
Dexter,46,62,23
Galloway,14,53,74
Gloucester,12,48,83
Guernsey,29,47,66
Highland,23,90,51
I.Moiled,37,53,74
L.Red,38,27,52
Longhorn,43,27,44
Luing,61,62,47
Red.P,39,70,70
Shetland,34,62,61
Vaynol,20,45,92
W.Park,22,45,69
W.Shorthorn,36,62,86
